ethnicity_code,ethnicity_label,n,accuracy,precision_pos,recall_pos,f1_pos,balanced_acc,roc_auc
0,0,1645,0.9337386018237082,0.9212746016869728,0.9751984126984127,0.9474698795180722,0.9216651404151404,0.9861220129077272
1,1,145,0.9448275862068966,0.9583333333333334,0.9324324324324325,0.9452054794520548,0.945089455652836,0.9832508564902931
2,2,128,0.9140625,0.9210526315789473,0.9333333333333333,0.9271523178807947,0.910062893081761,0.9864150943396227
3,3,64,0.921875,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9080086580086579,0.9653679653679653
4,4,220,0.9363636363636364,0.9407407407407408,0.9548872180451128,0.9477611940298507,0.9314665975283035,0.9836660617059891
5,5,489,0.950920245398773,0.9590443686006825,0.9590443686006825,0.9590443686006825,0.9489099394023821,0.9879153026398272
6,6,133,0.9172932330827067,0.9176470588235294,0.9512195121951219,0.9341317365269461,0.9069823051171688,0.9811095169775227
7,7,10,1.0,1.0,1.0,1.0,1.0,1.0
8,8,97,0.9587628865979382,0.9661016949152542,0.9661016949152542,0.9661016949152542,0.9567350579839429,0.9897413024085638
9,9,128,0.9453125,0.9390243902439024,0.9746835443037974,0.9565217391304348,0.9363213639886334,0.9948333763885301
10,10,23,1.0,1.0,1.0,1.0,1.0,1.0
11,11,46,0.9130434782608695,0.96,0.8888888888888888,0.923076923076923,0.9181286549707601,0.9863547758284601
12,12,14,0.8571428571428571,1.0,0.8,0.888888888888889,0.9,1.0
13,13,22,0.8636363636363636,0.9,0.8181818181818182,0.8571428571428572,0.8636363636363636,0.9504132231404959
14,14,15,0.9333333333333333,0.8,1.0,0.888888888888889,0.9545454545454546,1.0
15,15,8,0.875,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
16,16,4,1.0,1.0,1.0,1.0,1.0,
17,17,2,1.0,,,,1.0,
18,18,1,1.0,1.0,1.0,1.0,1.0,
