gender_code,gender_label,class,precision,recall,f1,support
0,Gender_0,AD,0.9214195183776933,0.9031055900621118,0.9121706398996235,805
0,Gender_0,Mixed,0.695906432748538,0.7360824742268042,0.7154308617234469,485
0,Gender_0,Non-AD,0.7276688453159041,0.7091295116772823,0.718279569892473,471
1,Gender_1,AD,0.894542772861357,0.9245426829268293,0.9092953523238382,1312
1,Gender_1,Mixed,0.6705298013245033,0.7006920415224913,0.6852791878172588,578
1,Gender_1,Non-AD,0.7317073170731707,0.6405693950177936,0.6831119544592031,562
