gender_code,gender_label,n,accuracy,precision_pos,recall_pos,f1_pos,balanced_acc,roc_auc
0,Gender_0,1337,0.9468960359012715,0.9477707006369427,0.9612403100775194,0.95445798588839,0.9442080768860066,0.988893019584085
1,Gender_1,1973,0.9295489102889002,0.925808997632202,0.9630541871921182,0.9440643863179075,0.91927543796692,0.9831370502071575
