class,support,precision,recall,f1
AD,2117,0.9044289044289044,0.9163911195087387,0.9103707179727827
Mixed,1063,0.6821844225604298,0.7168391345249294,0.6990825688073394
Non-AD,1033,0.729758149316509,0.6718296224588577,0.6995967741935484
